blk_key,gps_lon,gps_lat,timestamp
E7A4B795EB,158.695557,65.871529,20200807_000001
E7A4B795EB,158.695557,65.871529,20200807_000011
A5E92D0F95,158.707634,65.863822,20200807_000013
E7A4B795EB,158.695557,65.871529,20200807_000021
E7A4B795EB,158.695557,65.871529,20200807_000031
E7A4B795EB,158.695557,65.871529,20200807_000041
3FAF4D3D18,158.72208700000002,65.88484299999999,20200807_000042
E7A4B795EB,158.695557,65.871529,20200807_000051
B4F7ACA042,158.694173,65.872229,20200807_000053
36D561D09E,158.709489,65.86704900000001,20200807_000054
E7A4B795EB,158.695557,65.871529,20200807_000101
E7A4B795EB,158.695557,65.871529,20200807_000111
E7A4B795EB,158.695557,65.871529,20200807_000121
E7A4B795EB,158.695557,65.871529,20200807_000131
E7A4B795EB,158.695557,65.871529,20200807_000141
5445691862,158.708643,65.863249,20200807_000143
E7A4B795EB,158.695557,65.871529,20200807_000151
E7A4B795EB,158.695557,65.871529,20200807_000201
36D561D09E,158.709489,65.86704900000001,20200807_000206
E7A4B795EB,158.695557,65.871529,20200807_000211
E7A4B795EB,158.695557,65.871529,20200807_000221
E7A4B795EB,158.695557,65.871529,20200807_000251
E7A4B795EB,158.695557,65.871529,20200807_000301
E7A4B795EB,158.695557,65.871529,20200807_000311
36D561D09E,158.709489,65.86704900000001,20200807_000317
E7A4B795EB,158.695557,65.871529,20200807_000331
67073B0B23,158.702181,65.872481,20200807_000334
E7A4B795EB,158.695557,65.871529,20200807_000341
1559AD807B,158.695638,65.875317,20200807_000345
E7A4B795EB,158.695557,65.871529,20200807_000351
24CFFA7CAE,158.69661499999998,65.87572800000001,20200807_000358
E7A4B795EB,158.695557,65.871529,20200807_000401
E7A4B795EB,158.695557,65.871529,20200807_000411
E7A4B795EB,158.695557,65.871529,20200807_000421
8F1A82D350,158.706152,65.876363,20200807_000422
36D561D09E,158.709489,65.86704900000001,20200807_000429
E7A4B795EB,158.695557,65.871529,20200807_000431
E7A4B795EB,158.695557,65.871529,20200807_000441
057C3A98EB,158.701693,65.875146,20200807_000451
E7A4B795EB,158.695557,65.871529,20200807_000451
6A22EEDF1F,158.69733100000002,65.870699,20200807_000456
