blk_key,gps_lon,gps_lat,timestamp
36D561D09E,158.709228,65.867041,20200806_000100
67073B0B23,158.70216499999998,65.87266,20200806_000108
7456FBEF2B,158.70318999999998,65.876913,20200806_000144
8F1A82D350,158.706055,65.87631400000001,20200806_000151
1559AD807B,158.695638,65.875317,20200806_000213
24CFFA7CAE,158.69661499999998,65.87572800000001,20200806_000224
EA80A54874,158.708708,65.867334,20200806_000227
C2437B742D,158.705615,65.875802,20200806_000232
0EA2E922A4,158.709375,65.868962,20200806_000238
5AB50A3D05,158.694124,65.87312399999999,20200806_000240
36D561D09E,158.709228,65.867041,20200806_000305
2C88DC81B7,158.709798,65.86783,20200806_000312
147914D9E1,158.70660800000002,65.87390500000001,20200806_000314
6A22EEDF1F,158.69733100000002,65.870699,20200806_000324
ED71EB9DCF,158.70971699999998,65.862618,20200806_000327
36D561D09E,158.709228,65.867041,20200806_000408
56028BDA19,158.721126,65.879838,20200806_000416
5A7EF86ACC,158.696029,65.871419,20200806_000432
FC14581805,158.7097,65.86768000000001,20200806_000442
36D561D09E,158.709228,65.867041,20200806_000509
8B23BBA258,158.707031,65.86901900000001,20200806_000519
384E01425C,158.71796899999998,65.874101,20200806_000527
36D561D09E,158.709228,65.867041,20200806_000611
A527BC4548,158.70138300000002,65.875643,20200806_000657
36D561D09E,158.709228,65.867041,20200806_000713
0D0EA6BD28,158.70807299999998,65.866862,20200806_000715
30788649D0,158.708496,65.86873800000001,20200806_000724
2D6058B4B8,158.69781899999998,65.870402,20200806_000727
658DD2C6A6,158.708089,65.86385100000001,20200806_000740
A18AE323F7,158.707292,65.875106,20200806_000755
36D561D09E,158.709228,65.867041,20200806_000816
9505ACADA5,158.696045,65.869682,20200806_000817
36D561D09E,158.709228,65.867041,20200806_000919
36D561D09E,158.709228,65.867041,20200806_001022
7AD6429EB3,158.710059,65.867143,20200806_001047
298E751320,158.72054,65.879895,20200806_001059
DB175188B0,158.720361,65.879899,20200806_001106
684E7BE2BA,158.705452,65.874251,20200806_001115
6EFFE67198,158.69751000000002,65.875134,20200806_001119
36D561D09E,158.709228,65.867041,20200806_001126
6560D1A805,158.701497,65.87465,20200806_001133
FEC1D94492,158.71811499999998,65.87320199999999,20200806_001151
EABE4D3578,158.697103,65.86992599999999,20200806_001155
36D561D09E,158.709228,65.867041,20200806_001229
A2FB1B94F9,158.72277,65.882007,20200806_001253
5472CFAB59,158.71027,65.863591,20200806_001256
46D4DCA627,158.69751000000002,65.874471,20200806_001257
B898854357,158.70758500000002,65.868551,20200806_001258
36D561D09E,158.709228,65.867041,20200806_001334
8279CD2AB8,158.717611,65.875216,20200806_001340
2C22EAAA9A,158.719124,65.87562700000001,20200806_001426
36D561D09E,158.709228,65.867041,20200806_001436
016E65515E,158.708773,65.868213,20200806_001446
F52D3FCF2C,158.692904,65.871159,20200806_001504
3A50DE2627,158.693034,65.870105,20200806_001534
36D561D09E,158.709228,65.867041,20200806_001540
02383DF0CA,158.718831,65.87823499999999,20200806_001628
36D561D09E,158.709228,65.867041,20200806_001646
AE49BEF65C,158.721891,65.88189299999999,20200806_001648
61FDECAA85,158.70774699999998,65.86294799999999,20200806_001721
A486AED867,158.69461299999998,65.874032,20200806_001726
36D561D09E,158.709228,65.867041,20200806_001750
93D20BEA67,158.71056299999998,65.868404,20200806_001808
3B2B936686,158.697607,65.86934,20200806_001821
8F08969A54,158.704443,65.871895,20200806_001857
36D561D09E,158.709228,65.867041,20200806_001858
77C9746FA4,158.696875,65.869063,20200806_001949
A239E16F7C,158.71074199999998,65.868669,20200806_001954
36D561D09E,158.709228,65.867041,20200806_002007
2B41D4C9D4,158.696045,65.87124800000001,20200806_002021
A45EC205B3,158.716781,65.87447900000001,20200806_002027
5DB1AFF0D5,158.706055,65.87625700000001,20200806_002035
484955E507,158.696956,65.86946599999999,20200806_002057
36D561D09E,158.709228,65.867041,20200806_002114
7E7FC2FD85,158.70105800000002,65.872258,20200806_002153
65AAC61338,158.702962,65.876839,20200806_002215
36D561D09E,158.709228,65.867041,20200806_002219
F947533AC0,158.707861,65.86639,20200806_002230
E8B9D5986D,158.70682,65.870239,20200806_002315
36D561D09E,158.709228,65.867041,20200806_002325
41D4792A20,158.699984,65.868315,20200806_002429
36D561D09E,158.709228,65.867041,20200806_002431
667A48D387,158.71914099999998,65.878971,20200806_002436
36D561D09E,158.709228,65.867041,20200806_002537
3BBEEA97A4,158.697379,65.869344,20200806_002552
0A58BD6198,158.705794,65.87553700000001,20200806_002552
BA72595000,158.695801,65.87008499999999,20200806_002634
36D561D09E,158.709228,65.867041,20200806_002641
8EE1703B0C,158.693457,65.87063,20200806_002647
3D18B55293,158.72319299999998,65.882324,20200806_002730
95E0B5775A,158.72198899999998,65.881498,20200806_002734
36D561D09E,158.709228,65.867041,20200806_002759
D849FFAED0,158.70612,65.87561,20200806_002816
5CD4D6E4AE,158.718376,65.87480500000001,20200806_002838
1986B766A7,158.71163700000002,65.86982,20200806_002853
36D561D09E,158.709228,65.867041,20200806_002911
48BE49B1CE,158.6972,65.869775,20200806_002928
36D561D09E,158.709228,65.867041,20200806_003016
16CCCCC471,158.718164,65.87399500000001,20200806_003049
36D561D09E,158.709228,65.867041,20200806_003122
03F3B0400E,158.70551799999998,65.874678,20200806_003142
6A5DE890B1,158.697363,65.870976,20200806_003216
36D561D09E,158.709228,65.867041,20200806_003227
