blk_key,gps_lon,gps_lat,timestamp
9848769553,158.694108,65.86921,20200804_132818
F3718E8F31,158.70332,65.874825,20200804_132909
9AC8C9DEFF,158.706543,65.866976,20200804_132941
C4C65C1D85,158.719238,65.876575,20200804_132949
F9309E34D3,158.696663,65.869775,20200804_133030
25B9C6CCA4,158.705501,65.864937,20200804_133036
36D561D09E,158.70944,65.867204,20200804_133045
F825580637,158.718831,65.875509,20200804_133137
F78ED89CCF,158.701839,65.872554,20200804_133204
16D9353696,158.697445,65.871818,20200804_133250
DA844D1803,158.69598,65.870011,20200804_133305
36D561D09E,158.70944,65.867204,20200804_133348
29C35B1F4B,158.720817,65.87904,20200804_133404
8AF9EFCC7D,158.712093,65.869413,20200804_133438
A844E6103C,158.713623,65.872164,20200804_133439
36D561D09E,158.70944,65.867204,20200804_133440
2C1EDEDACA,158.705371,65.864901,20200804_133510
1C6463A45D,158.709098,65.869694,20200804_133527
7544BA45B5,158.697087,65.875684,20200804_133538
23D069C7A3,158.709375,65.863676,20200804_133553
7842CE10B5,158.697266,65.874972,20200804_133609
9A258A3200,158.719857,65.880164,20200804_133702
889D775ACC,158.695182,65.874923,20200804_133703
590885FFED,158.708268,65.867306,20200804_133724
A470CD9BA4,158.706494,65.876249,20200804_133746
08B40E9C2A,158.703385,65.874044,20200804_133923
FD896E5F0C,158.705338,65.876217,20200804_133927
36D561D09E,158.70944,65.867204,20200804_133934
69E12608A7,158.694271,65.872933,20200804_134142
36D561D09E,158.70944,65.867204,20200804_134218
BDF90762CE,158.694336,65.86899,20200804_134224
7BC92557BF,158.70612,65.875797,20200804_134259
850A51C41D,158.708935,65.862997,20200804_134259
AB3F2E9898,158.705859,65.876559,20200804_134420
791F675DCE,158.707308,65.866809,20200804_134441
36D561D09E,158.70944,65.867204,20200804_134515
4A6DF687E7,158.724626,65.884464,20200804_134527
EC375C46AE,158.709912,65.8637,20200804_134554
D76A4C44C4,158.718376,65.873767,20200804_134555
3027464C80,158.708008,65.867472,20200804_134606
75D00A882C,158.708024,65.86346,20200804_134658
3E3FF6E1AF,158.705501,65.876542,20200804_134728
33492B2F94,158.692985,65.870894,20200804_134926
51A00423A8,158.719857,65.880229,20200804_135000
36D561D09E,158.70944,65.867204,20200804_135029
AFD337B492,158.7118,65.869893,20200804_135034
C10BA2D2BC,158.69331,65.869401,20200804_135107
4FE9DA827F,158.695687,65.869889,20200804_135123
3265535978,158.712093,65.868091,20200804_135144
26151D63D3,158.693034,65.869812,20200804_135237
515B12FD46,158.704834,65.875232,20200804_135247
49A1FE3E01,158.695508,65.869307,20200804_135252
96CF37865F,158.719352,65.875728,20200804_135255
36D561D09E,158.70944,65.867204,20200804_135307
3787986541,158.708561,65.867908,20200804_135346
B8BC173D08,158.694694,65.872318,20200804_135347
5DB7C70C02,158.720036,65.880436,20200804_135404
A5E92D0F95,158.707731,65.863733,20200804_135410
6A84851CCF,158.696582,65.877494,20200804_135442
B4F7ACA042,158.69432,65.872249,20200804_135443
5445691862,158.708903,65.863387,20200804_135549
36D561D09E,158.70944,65.867204,20200804_135553
AFF988EAF1,158.697575,65.870976,20200804_135555
5CA8CC377F,158.707259,65.876566,20200804_135623
E7A4B795EB,158.69611,65.871574,20200804_135632
3FAF4D3D18,158.722087,65.884843,20200804_135712
F59D989BA3,158.717253,65.872864,20200804_135717
67073B0B23,158.702279,65.872611,20200804_135745
8F1A82D350,158.706201,65.876436,20200804_135819
36D561D09E,158.70944,65.867204,20200804_135834
EA80A54874,158.70874,65.867505,20200804_135854
C2437B742D,158.705045,65.875289,20200804_135903
147914D9E1,158.705941,65.873926,20200804_135905
5FE301A05D,158.717562,65.879765,20200804_135915
5AB50A3D05,158.694189,65.873075,20200804_135917
0EA2E922A4,158.709489,65.868884,20200804_135921
2C88DC81B7,158.709635,65.867867,20200804_135955
ED71EB9DCF,158.709521,65.863171,20200804_135957
